iter	Passed	Remaining
0	1	141
1	2	119
2	3	121
3	4	111
4	5	106
5	8	133
6	10	140
7	11	135
8	13	133
9	14	132
10	15	127
11	16	122
12	17	119
13	18	115
14	19	112
15	20	109
16	21	105
17	24	110
18	25	108
19	26	105
20	27	102
21	28	100
22	29	98
23	30	96
24	31	93
25	32	91
26	32	88
27	34	87
28	35	85
29	35	83
30	36	82
31	38	82
32	40	81
33	41	80
34	42	78
35	43	77
36	44	75
37	45	73
38	46	72
39	47	70
40	48	69
41	49	67
42	50	66
43	51	65
44	51	63
45	52	61
46	53	60
47	55	59
48	56	58
49	57	57
50	58	56
51	59	54
52	60	53
53	61	52
54	62	51
55	63	50
56	64	48
57	65	47
58	66	46
59	67	45
60	68	43
61	70	43
62	71	42
63	72	40
64	73	39
65	74	38
66	75	37
67	76	35
68	77	34
69	78	33
70	78	32
71	79	31
72	80	29
73	81	28
74	82	27
75	83	26
76	85	25
77	87	24
78	88	23
79	89	22
80	91	21
81	92	20
82	93	19
83	94	18
84	95	16
85	96	15
86	97	14
87	98	13
88	99	12
89	100	11
90	102	10
91	103	9
92	104	7
93	106	6
94	107	5
95	108	4
96	109	3
97	110	2
98	111	1
99	112	0
